婚姻類型",性別,總　　　　　　　　　　　　　　　　　　　　計,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,博　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,碩　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,大　　　　　　學　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,
,,總　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"1,873,869",251,"8,808","33,576","69,367","138,435","229,298","263,472","288,063","288,177","239,761","171,719","87,328","30,789","15,066","5,912","2,876",851,120,,計,"4,999",—,—,1,26,209,502,788,"1,004","1,005",685,450,215,73,31,8,1,1,—,,計,"51,014",—,—,124,"1,642","4,906","8,647","10,344","10,141","7,474","4,134","2,136","1,022",289,98,40,15,2,—,,計,"212,897",—,242,"5,210","18,267","29,886","34,354","31,124","27,237","23,006","17,877","13,318","7,919","2,750","1,007",380,226,83,11
　　不同性別,男,"885,683",27,"2,875","13,972","30,064","58,045","103,287","124,640","141,591","142,046","114,653","82,539","43,395","15,952","7,330","2,839","1,764",578,86,　　不同性別,男,"2,970",—,—,—,15,129,309,427,501,573,441,317,157,66,26,7,1,1,—,　　不同性別,男,"25,419",—,—,61,855,"2,565","4,349","4,825","4,683","3,680","2,158","1,277",648,191,76,37,12,2,—,　　不同性別,男,"93,507",—,56,"1,676","6,721","11,823","14,599","13,143","11,189","10,533","8,863","7,193","4,617","1,799",724,294,193,74,10
,女,"988,186",224,"5,933","19,604","39,303","80,390","126,011","138,832","146,472","146,131","125,108","89,180","43,933","14,837","7,736","3,073","1,112",273,34,,女,"2,029",—,—,1,11,80,193,361,503,432,244,133,58,7,5,1,—,—,—,,女,"25,595",—,—,63,787,"2,341","4,298","5,519","5,458","3,794","1,976",859,374,98,22,3,3,—,—,,女,"119,390",—,186,"3,534","11,546","18,063","19,755","17,981","16,048","12,473","9,014","6,125","3,302",951,283,86,33,9,1
,計,"1,692",3,304,564,394,224,130,47,19,4,1,2,—,—,—,—,—,—,—,,計,4,—,—,—,—,1,2,1,—,—,—,—,—,—,—,—,—,—,—,,計,60,—,—,8,21,15,9,1,2,2,1,1,—,—,—,—,—,—,—,,計,382,—,18,127,130,64,32,8,2,—,—,1,—,—,—,—,—,—,—
　　相同性別,男,497,1,94,188,110,54,33,11,5,1,—,—,—,—,—,—,—,—,—,　　相同性別,男,1,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,24,—,—,6,11,3,3,—,—,1,—,—,—,—,—,—,—,—,—,　　相同性別,男,151,—,10,59,48,18,14,2,—,—,—,—,—,—,—,—,—,—,—
,女,"1,195",2,210,376,284,170,97,36,14,3,1,2,—,—,—,—,—,—,—,,女,3,—,—,—,—,1,2,—,—,—,—,—,—,—,—,—,—,—,—,,女,36,—,—,2,10,12,6,1,2,1,1,1,—,—,—,—,—,—,—,,女,231,—,8,68,82,46,18,6,2,—,—,1,—,—,—,—,—,—,—
,計,"1,400,350",3,69,353,"1,329","6,091","15,174","26,751","47,963","86,090","134,266","194,593","221,005","190,714","212,625","156,617","81,263","22,077","3,367",,計,"1,324",—,—,—,1,9,21,60,107,190,241,234,190,106,81,46,26,12,—,,計,"8,865",—,—,7,31,159,462,829,"1,235","1,441","1,265","1,176",980,571,378,214,93,22,2,,計,"52,738",—,3,71,334,985,"1,843","2,767","3,727","5,043","6,094","7,738","8,388","5,662","4,237","2,720","1,978",931,217
喪　　　　偶,男,"253,178",—,13,54,246,809,"2,092","3,792","7,505","14,090","22,323","31,483","34,548","31,904","41,177","35,218","21,072","5,886",966,喪　　　　偶,男,858,—,—,—,1,6,15,30,51,106,154,158,130,77,62,35,24,9,—,喪　　　　偶,男,"4,049",—,—,1,18,67,171,306,468,628,525,581,515,316,224,143,69,16,1,喪　　　　偶,男,"18,798",—,—,10,82,240,450,649,850,"1,273","1,787","2,622","2,941","2,251","2,125","1,505","1,285",588,140
,女,"1,147,172",3,56,299,"1,083","5,282","13,082","22,959","40,458","72,000","111,943","163,110","186,457","158,810","171,448","121,399","60,191","16,191","2,401",,女,466,—,—,—,—,3,6,30,56,84,87,76,60,29,19,11,2,3,—,,女,"4,816",—,—,6,13,92,291,523,767,813,740,595,465,255,154,71,24,6,1,,女,"33,940",—,3,61,252,745,"1,393","2,118","2,877","3,770","4,307","5,116","5,447","3,411","2,112","1,215",693,343,77
,計,"1,400,313",3,68,350,"1,324","6,087","15,170","26,746","47,955","86,087","134,263","194,592","221,005","190,714","212,625","156,617","81,263","22,077","3,367",,計,"1,324",—,—,—,1,9,21,60,107,190,241,234,190,106,81,46,26,12,—,,計,"8,859",—,—,6,31,159,460,828,"1,234","1,441","1,264","1,176",980,571,378,214,93,22,2,,計,"52,727",—,3,71,333,983,"1,841","2,766","3,725","5,042","6,093","7,737","8,388","5,662","4,237","2,720","1,978",931,217
