婚姻類型",性別,總　　　　　　　　　　　　　　　　　　　　計,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,博　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,碩　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,大　　　　　　學　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,
,,總　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"1,848,953",296,"9,152","32,939","69,422","151,578","235,864","261,416","290,828","282,445","230,557","160,613","71,867","28,848","13,618","5,746","2,866",786,112,,計,"4,821",—,—,1,38,244,511,758,"1,003",901,645,426,198,58,26,9,1,2,—,,計,"48,010",—,2,156,"1,592","5,106","8,505","9,534","9,574","6,553","3,739","1,986",855,270,90,38,8,2,—,,計,"202,319",—,283,"5,212","17,269","29,133","32,298","28,823","26,122","22,001","17,296","12,957","6,877","2,429",903,388,242,73,13
　　不同性別,男,"874,133",36,"3,007","13,479","29,349","63,236","107,029","124,231","143,444","138,487","110,630","77,704","36,400","15,063","6,680","2,901","1,855",520,82,　　不同性別,男,"2,872",—,—,—,29,155,296,396,511,527,423,302,150,50,22,9,1,1,—,　　不同性別,男,"23,916",—,2,77,799,"2,697","4,188","4,420","4,421","3,283","1,982","1,183",556,193,71,36,6,2,—,　　不同性別,男,"89,023",—,80,"1,653","6,359","11,537","13,628","11,987","10,837","10,298","8,673","7,032","4,038","1,649",664,309,206,63,10
,女,"974,820",260,"6,145","19,460","40,073","88,342","128,835","137,185","147,384","143,958","119,927","82,909","35,467","13,785","6,938","2,845","1,011",266,30,,女,"1,949",—,—,1,9,89,215,362,492,374,222,124,48,8,4,—,—,1,—,,女,"24,094",—,—,79,793,"2,409","4,317","5,114","5,153","3,270","1,757",803,299,77,19,2,2,—,—,,女,"113,296",—,203,"3,559","10,910","17,596","18,670","16,836","15,285","11,703","8,623","5,925","2,839",780,239,79,36,10,3
,計,849,2,210,280,176,102,48,19,9,1,1,1,—,—,—,—,—,—,—,,計,1,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,,計,22,—,—,4,7,7,—,2,2,—,—,—,—,—,—,—,—,—,—,,計,210,—,12,82,60,31,19,4,2,—,—,—,—,—,—,—,—,—,—
　　相同性別,男,276,—,65,100,56,31,15,5,4,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,6,—,—,4,—,1,—,—,1,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,92,—,5,39,26,9,9,3,1,—,—,—,—,—,—,—,—,—,—
,女,573,2,145,180,120,71,33,14,5,1,1,1,—,—,—,—,—,—,—,,女,1,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,,女,16,—,—,—,7,6,—,2,1,—,—,—,—,—,—,—,—,—,—,,女,118,—,7,43,34,22,10,1,1,—,—,—,—,—,—,—,—,—,—
,計,"1,389,531",3,66,377,"1,490","6,933","15,983","27,582","50,461","89,818","138,661","199,977","199,092","197,194","207,666","153,435","77,600","20,204","2,989",,計,"1,238",—,—,—,1,11,27,49,109,197,221,206,168,95,81,36,29,8,—,,計,"8,211",—,—,3,35,156,486,780,"1,186","1,264","1,185","1,133",828,530,330,202,74,17,2,,計,"50,441",—,4,79,314,997,"1,816","2,614","3,553","4,952","6,052","7,704","7,501","5,285","3,756","2,709","1,975",956,174
喪　　　　偶,男,"252,218",—,10,56,235,865,"2,159","3,916","7,803","14,622","22,668","31,903","30,773","33,884","41,236","35,509","20,277","5,465",837,喪　　　　偶,男,804,—,—,—,1,7,16,25,55,106,147,141,110,69,67,28,25,7,—,喪　　　　偶,男,"3,746",—,—,1,14,68,178,281,447,555,508,580,428,281,202,133,56,13,1,喪　　　　偶,男,"18,143",—,1,15,72,245,437,581,820,"1,291","1,811","2,611","2,637","2,169","1,882","1,568","1,276",609,118
,女,"1,137,313",3,56,321,"1,255","6,068","13,824","23,666","42,658","75,196","115,993","168,074","168,319","163,310","166,430","117,926","57,323","14,739","2,152",,女,434,—,—,—,—,4,11,24,54,91,74,65,58,26,14,8,4,1,—,,女,"4,465",—,—,2,21,88,308,499,739,709,677,553,400,249,128,69,18,4,1,,女,"32,298",—,3,64,242,752,"1,379","2,033","2,733","3,661","4,241","5,093","4,864","3,116","1,874","1,141",699,347,56
,計,"1,389,520",3,66,376,"1,488","6,933","15,982","27,579","50,459","89,817","138,660","199,977","199,092","197,194","207,666","153,435","77,600","20,204","2,989",,計,"1,238",—,—,—,1,11,27,49,109,197,221,206,168,95,81,36,29,8,—,,計,"8,208",—,—,3,35,156,485,780,"1,185","1,264","1,184","1,133",828,530,330,202,74,17,2,,計,"50,440",—,4,79,314,997,"1,816","2,614","3,553","4,951","6,052","7,704","7,501","5,285","3,756","2,709","1,975",956,174
　　不同性別,男,"252,213",—,10,55,235,865,"2,158","3,914","7,802","14,622","22,668","31,903","30,773","33,884","41,236","35,509","20,277","5,465",837,　　不同性別,男,804,—,—,—,1,7,16,25,55,106,147,141,110,69,67,28,25,7,—,　　不同性別,男,"3,745",—,—,1,14,68,177,281,447,555,508,580,428,281,202,133,56,13,1,　　不同性別,男,"18,143",—,1,15,72,245,437,581,820,"1,291","1,811","2,611","2,637","2,169","1,882","1,568","1,276",609,118
,女,"1,137,307",3,56,321,"1,253","6,068","13,824","23,665","42,657","75,195","115,992","168,074","168,319","163,310","166,430","117,926","57,323","14,739","2,152",,女,434,—,—,—,—,4,11,24,54,91,74,65,58,26,14,8,4,1,—,,女,"4,463",—,—,2,21,88,308,499,738,709,676,553,400,249,128,69,18,4,1,,女,"32,297",—,3,64,242,752,"1,379","2,033","2,733","3,660","4,241","5,093","4,864","3,116","1,874","1,141",699,347,56
,計,11,—,—,1,2,—,1,3,2,1,1,—,—,—,—,—,—,—,—,,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,計,3,—,—,—,—,—,1,—,1,—,1,—,—,—,—,—,—,—,—,,計,1,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—
　　相同性別,男,5,—,—,1,—,—,1,2,1,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,1,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,6,—,—,—,2,—,—,1,1,1,1,—,—,—,—,—,—,—,—,,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,女,2,—,—,—,—,—,—,—,1,—,1,—,—,—,—,—,—,—,—,,女,1,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備註：司法院釋字第748號解釋施行法自108年5月24日施行後，相同性別2人可至戶政事務所辦理結婚登記及終上結婚登記，爰於婚姻狀況別項下增列婚姻類型。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更新日期：2021/3/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
