　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分,,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續1),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續2),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續3),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有　　　　偶,男,"5,211,725",476,"15,762","95,375","271,302","507,622","591,285","570,345","617,823","656,383","618,238","524,908","302,157","214,497","127,129","65,847","27,215","4,739",622,有　　　　偶,男,"56,455",—,—,39,"1,497","6,473","8,582","7,056","8,355","8,562","6,807","4,664","2,352","1,189",577,235,58,8,1,有　　　　偶,男,"430,270",—,30,"5,607","40,744","80,452","83,173","69,593","57,015","38,834","24,373","16,210","8,011","3,681","1,609",681,226,25,6,有　　　　偶,男,"1,035,189",—,"1,656","38,446","122,948","183,878","163,241","116,401","90,438","83,891","76,135","67,245","42,549","24,090","11,863","7,325","4,078",896,109
,女,"5,144,902","2,059","30,992","148,914","365,339","612,711","649,489","590,841","614,874","631,614","569,010","444,620","228,841","147,146","77,279","25,755","4,730",607,81,,女,"15,974",—,—,14,521,"2,263","3,098","2,802","2,847","2,155","1,258",652,275,57,28,4,—,—,—,,女,"249,310",—,30,"5,043","32,584","54,788","53,894","40,680","30,207","16,492","8,613","4,513","1,780",518,130,33,4,1,—,,女,"1,085,010",—,"4,663","77,778","198,050","246,002","179,848","114,269","84,730","66,286","50,357","37,253","17,452","5,871","1,822",460,129,33,7
,計,"10,351,088","2,525","46,337","243,243","635,406","1,119,165","1,239,946","1,160,708","1,232,470","1,287,910","1,187,226","969,512","530,993","361,643","204,408","91,602","31,945","5,346",703,,計,"72,361",—,—,53,"2,013","8,725","11,661","9,839","11,197","10,710","8,064","5,315","2,627","1,246",605,239,58,8,1,,計,"678,983",—,59,"10,606","73,215","135,078","136,918","110,207","87,182","55,310","32,985","20,720","9,789","4,199","1,739",714,230,26,6,,計,"2,118,138",—,"6,266","115,826","320,433","429,387","342,798","230,517","175,097","150,153","126,485","104,493","60,000","29,961","13,685","7,785","4,207",929,116
　　不同性別,男,"5,210,082",474,"15,656","95,120","270,955","507,335","591,018","570,154","617,704","656,342","618,226","524,896","302,153","214,497","127,129","65,847","27,215","4,739",622,　　不同性別,男,"56,428",—,—,39,"1,495","6,472","8,574","7,047","8,354","8,558","6,806","4,663","2,352","1,189",577,235,58,8,1,　　不同性別,男,"430,022",—,29,"5,587","40,705","80,402","83,106","69,563","56,992","38,822","24,372","16,207","8,009","3,681","1,609",681,226,25,6,　　不同性別,男,"1,034,478",—,"1,643","38,319","122,757","183,735","163,134","116,332","90,397","83,881","76,130","67,241","42,548","24,090","11,863","7,325","4,078",896,109
,女,"5,141,006","2,051","30,681","148,123","364,451","611,830","648,928","590,554","614,766","631,568","569,000","444,616","228,840","147,146","77,279","25,755","4,730",607,81,,女,"15,933",—,—,14,518,"2,253","3,087","2,792","2,843","2,152","1,258",652,275,57,28,4,—,—,—,,女,"248,961",—,30,"5,019","32,510","54,676","53,812","40,644","30,190","16,488","8,613","4,513","1,780",518,130,33,4,1,—,,女,"1,083,660",—,"4,623","77,507","197,676","245,652","179,664","114,185","84,700","66,272","50,355","37,252","17,452","5,871","1,822",460,129,33,7
,計,"5,539",10,417,"1,046","1,235","1,168",828,478,227,87,22,16,5,—,—,—,—,—,—,,計,68,—,—,—,5,11,19,19,5,7,1,1,—,—,—,—,—,—,—,,計,597,—,1,44,113,162,149,66,40,16,1,3,2,—,—,—,—,—,—,,計,"2,061",—,53,398,565,493,291,153,71,24,7,5,1,—,—,—,—,—,—
　　相同性別,男,"1,643",2,106,255,347,287,267,191,119,41,12,12,4,—,—,—,—,—,—,　　相同性別,男,27,—,—,—,2,1,8,9,1,4,1,1,—,—,—,—,—,—,—,　　相同性別,男,248,—,1,20,39,50,67,30,23,12,1,3,2,—,—,—,—,—,—,　　相同性別,男,711,—,13,127,191,143,107,69,41,10,5,4,1,—,—,—,—,—,—
,女,"3,896",8,311,791,888,881,561,287,108,46,10,4,1,—,—,—,—,—,—,,女,41,—,—,—,3,10,11,10,4,3,—,—,—,—,—,—,—,—,—,,女,349,—,—,24,74,112,82,36,17,4,—,—,—,—,—,—,—,—,—,,女,"1,350",—,40,271,374,350,184,84,30,14,2,1,—,—,—,—,—,—,—
,計,"1,808,456",334,"9,139","32,562","70,993","160,678","234,576","264,805","287,948","275,434","219,178","144,794","59,209","27,538","12,002","5,712","2,789",662,103,,計,"4,549",—,—,1,47,244,516,710,966,835,605,359,175,53,25,8,2,3,—,,計,"44,289",—,2,168,"1,617","4,991","7,843","9,162","8,656","5,782","3,269","1,763",680,235,71,39,7,4,—,,計,"188,941",—,287,"5,128","15,966","27,326","29,741","27,141","24,607","20,902","16,374","12,017","5,799","2,147",767,402,262,65,10
離婚/終止結婚,男,"855,466",31,"3,010","13,125","29,113","66,691","107,206","126,761","142,478","134,363","105,431","70,862","30,615","14,381","5,915","3,096","1,881",435,72,離婚/終止結婚,男,"2,710",—,—,1,34,150,308,346,507,491,402,256,136,46,21,8,2,2,—,離婚/終止結婚,男,"22,038",—,1,72,819,"2,561","3,829","4,220","4,060","2,930","1,771","1,049",457,165,59,34,7,4,—,離婚/終止結婚,男,"83,548",—,81,"1,669","5,830","10,832","12,482","11,196","10,392","9,978","8,333","6,551","3,509","1,507",549,342,232,58,7
,女,"952,990",303,"6,129","19,437","41,880","93,987","127,370","138,044","145,470","141,071","113,747","73,932","28,594","13,157","6,087","2,616",908,227,31,,女,"1,839",—,—,—,13,94,208,364,459,344,203,103,39,7,4,—,—,1,—,,女,"22,251",—,1,96,798,"2,430","4,014","4,942","4,596","2,852","1,498",714,223,70,12,5,—,—,—,,女,"105,393",—,206,"3,459","10,136","16,494","17,259","15,945","14,215","10,924","8,041","5,466","2,290",640,218,60,30,7,3
,計,"1,808,264",331,"9,072","32,486","70,974","160,664","234,571","264,800","287,947","275,434","219,177","144,793","59,209","27,538","12,002","5,712","2,789",662,103,,計,"4,549",—,—,1,47,244,516,710,966,835,605,359,175,53,25,8,2,3,—,,計,"44,287",—,2,167,"1,617","4,990","7,843","9,162","8,656","5,782","3,269","1,763",680,235,71,39,7,4,—,,計,"188,902",—,281,"5,103","15,963","27,324","29,740","27,139","24,607","20,902","16,374","12,017","5,799","2,147",767,402,262,65,10
　　不同性別,男,"855,375",29,"2,978","13,087","29,104","66,687","107,203","126,759","142,477","134,363","105,431","70,862","30,615","14,381","5,915","3,096","1,881",435,72,　　不同性別,男,"2,710",—,—,1,34,150,308,346,507,491,402,256,136,46,21,8,2,2,—,　　不同性別,男,"22,037",—,1,71,819,"2,561","3,829","4,220","4,060","2,930","1,771","1,049",457,165,59,34,7,4,—,　　不同性別,男,"83,526",—,78,"1,654","5,828","10,832","12,482","11,194","10,392","9,978","8,333","6,551","3,509","1,507",549,342,232,58,7
,女,"952,889",302,"6,094","19,399","41,870","93,977","127,368","138,041","145,470","141,071","113,746","73,931","28,594","13,157","6,087","2,616",908,227,31,,女,"1,839",—,—,—,13,94,208,364,459,344,203,103,39,7,4,—,—,1,—,,女,"22,250",—,1,96,798,"2,429","4,014","4,942","4,596","2,852","1,498",714,223,70,12,5,—,—,—,,女,"105,376",—,203,"3,449","10,135","16,492","17,258","15,945","14,215","10,924","8,041","5,466","2,290",640,218,60,30,7,3
,計,192,3,67,76,19,14,5,5,1,—,1,1,—,—,—,—,—,—,—,,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,計,2,—,—,1,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—,,計,39,—,6,25,3,2,1,2,—,—,—,—,—,—,—,—,—,—,—
　　相同性別,男,91,2,32,38,9,4,3,2,1,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,1,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,22,—,3,15,2,—,—,2,—,—,—,—,—,—,—,—,—,—,—
,女,101,1,35,38,10,10,2,3,—,—,1,1,—,—,—,—,—,—,—,,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,女,1,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—,,女,17,—,3,10,1,2,1,—,—,—,—,—,—,—,—,—,—,—,—
,計,"1,373,627",4,60,406,"1,846","7,719","16,397","28,901","52,875","93,483","142,759","198,370","181,217","205,868","201,702","148,269","72,831","18,259","2,661",,計,"1,130",—,—,—,2,8,28,49,108,183,185,195,143,90,65,42,26,6,—,,計,"7,533",—,—,4,40,174,442,763,"1,108","1,136","1,104","1,022",684,500,290,178,72,13,3,,計,"47,832",—,—,80,328,968,"1,756","2,478","3,496","4,853","5,910","7,425","6,594","4,885","3,393","2,657","1,953",890,166
喪　　　　偶,男,"250,300",—,9,50,238,923,"2,161","4,105","8,168","15,040","23,034","31,076","27,775","36,425","40,933","35,560","19,151","4,903",749,喪　　　　偶,男,730,—,—,—,1,5,17,21,55,99,130,129,96,63,50,37,21,6,—,喪　　　　偶,男,"3,474",—,—,2,18,67,159,291,432,501,495,513,355,267,185,122,55,10,2,喪　　　　偶,男,"17,376",—,—,20,65,231,413,525,825,"1,294","1,806","2,525","2,339","2,092","1,734","1,543","1,278",570,116
,女,"1,123,327",4,51,356,"1,608","6,796","14,236","24,796","44,707","78,443","119,725","167,294","153,442","169,443","160,769","112,709","53,680","13,356","1,912",,女,400,—,—,—,1,3,11,28,53,84,55,66,47,27,15,5,5,—,—,,女,"4,059",—,—,2,22,107,283,472,676,635,609,509,329,233,105,56,17,3,1,,女,"30,456",—,—,60,263,737,"1,343","1,953","2,671","3,559","4,104","4,900","4,255","2,793","1,659","1,114",675,320,50
,計,"1,373,624",4,60,406,"1,846","7,719","16,396","28,900","52,875","93,482","142,759","198,370","181,217","205,868","201,702","148,269","72,831","18,259","2,661",,計,"1,130",—,—,—,2,8,28,49,108,183,185,195,143,90,65,42,26,6,—,,計,"7,532",—,—,4,40,174,442,763,"1,108","1,135","1,104","1,022",684,500,290,178,72,13,3,,計,"47,832",—,—,80,328,968,"1,756","2,478","3,496","4,853","5,910","7,425","6,594","4,885","3,393","2,657","1,953",890,166
　　不同性別,男,"250,299",—,9,50,238,923,"2,161","4,104","8,168","15,040","23,034","31,076","27,775","36,425","40,933","35,560","19,151","4,903",749,　　不同性別,男,730,—,—,—,1,5,17,21,55,99,130,129,96,63,50,37,21,6,—,　　不同性別,男,"3,474",—,—,2,18,67,159,291,432,501,495,513,355,267,185,122,55,10,2,　　不同性別,男,"17,376",—,—,20,65,231,413,525,825,"1,294","1,806","2,525","2,339","2,092","1,734","1,543","1,278",570,116
,女,"1,123,325",4,51,356,"1,608","6,796","14,235","24,796","44,707","78,442","119,725","167,294","153,442","169,443","160,769","112,709","53,680","13,356","1,912",,女,400,—,—,—,1,3,11,28,53,84,55,66,47,27,15,5,5,—,—,,女,"4,058",—,—,2,22,107,283,472,676,634,609,509,329,233,105,56,17,3,1,,女,"30,456",—,—,60,263,737,"1,343","1,953","2,671","3,559","4,104","4,900","4,255","2,793","1,659","1,114",675,320,50
,計,3,—,—,—,—,—,1,1,—,1,—,—,—,—,—,—,—,—,—,,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,計,1,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
　　相同性別,男,1,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,2,—,—,—,—,—,1,—,—,1,—,—,—,—,—,—,—,—,—,,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,女,1,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備註：司法院釋字第748號解釋施行法自108年5月24日施行後，相同性別2人可至戶政事務所辦理結婚登記及終上結婚登記，爰於婚姻狀況別項下增列婚姻類型。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更新日期：2020/3/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續4),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續5),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續6),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續7完),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中華民國 108年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 108年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 108年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 108年底,,,,,,,,,,,,,,,,,,,單位：人
"婚姻狀況及
婚姻類型",性別,專　　　　　　科　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,高　　　　　　中　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,國　　　　　　中　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,國　　小　　畢　　業　　以　　下,,,,,,,,,,,,,,,,,,
,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"2,038,114",—,"66,579","52,966","81,865","226,492","366,061","338,634","287,385","229,118","168,900","121,904","48,426","22,581","12,294","8,836","4,901","1,064",108,,計,"6,335,962","399,027","841,814","373,229","362,264","559,310","642,750","656,466","719,896","654,922","519,380","316,160","137,416","76,626","36,776","22,536","13,887","3,111",392,,計,"3,554,312","765,516","111,930","98,623","127,273","202,883","216,823","252,750","375,605","520,843","432,652","194,506","107,862","70,783","36,807","24,338","12,276","2,473",369,,計,"2,721,587","89,598","5,452","3,806","16,121","31,122","37,371","36,758","58,655","137,720","321,635","580,700","413,930","394,170","319,355","182,567","73,046","16,955","2,626"
總　　　　計,男,"1,023,139",—,"25,591","25,679","37,301","96,247","157,732","160,150","151,476","128,983","101,773","75,686","29,846","13,573","7,675","6,685","3,896",772,74,總　　　　計,男,"3,269,617","210,026","463,883","224,223","205,336","296,901","324,742","310,420","334,538","305,225","257,300","162,670","77,077","47,049","23,664","15,131","9,291","1,922",219,總　　　　計,男,"1,860,740","398,431","67,782","61,388","74,113","112,603","124,118","138,428","192,908","259,025","209,522","95,639","52,638","34,517","17,211","12,936","7,710","1,539",232,總　　　　計,男,"976,371","46,548","2,726","1,766","6,515","7,287","12,914","14,198","22,046","43,088","104,952","218,128","150,787","142,433","112,000","61,598","23,359","5,110",916
,女,"1,014,975",—,"40,988","27,287","44,564","130,245","208,329","178,484","135,909","100,135","67,127","46,218","18,580","9,008","4,619","2,151","1,005",292,34,,女,"3,066,345","189,001","377,931","149,006","156,928","262,409","318,008","346,046","385,358","349,697","262,080","153,490","60,339","29,577","13,112","7,405","4,596","1,189",173,,女,"1,693,572","367,085","44,148","37,235","53,160","90,280","92,705","114,322","182,697","261,818","223,130","98,867","55,224","36,266","19,596","11,402","4,566",934,137,,女,"1,745,216","43,050","2,726","2,040","9,606","23,835","24,457","22,560","36,609","94,632","216,683","362,572","263,143","251,737","207,355","120,969","49,687","11,845","1,710"
,計,"431,413",—,"64,220","39,416","36,843","68,891","83,367","58,024","37,523","22,148","11,482","6,491","2,051",537,189,120,79,24,8,,計,"2,337,161","398,295","812,712","278,604","189,682","193,611","154,182","105,919","85,327","57,789","34,384","17,261","5,655","1,880",700,514,482,141,23,,計,"1,286,495","763,432","94,462","63,327","59,579","70,594","57,123","48,024","47,235","42,305","24,782","8,528","3,378","1,643",763,607,493,187,33,,計,"222,678","89,541","5,096","2,328","6,283","5,548","8,748","8,853","10,469","13,358","17,724","21,616","11,620","8,367","6,108","3,517","2,308",928,266
未　　　　婚,男,"201,979",—,"25,160","21,136","20,256","35,728","40,486","26,654","16,343","9,216","4,178","1,963",514,134,56,70,61,19,5,未　　　　婚,男,"1,363,967","209,897","454,151","183,164","126,661","128,759","99,227","62,809","46,170","28,383","15,113","6,013","1,814",690,291,317,370,120,18,未　　　　婚,男,"772,123","398,058","61,045","44,733","43,465","53,921","45,227","36,403","34,999","30,596","16,328","4,153","1,339",593,320,347,405,164,27,未　　　　婚,男,"126,097","46,543","2,613","1,329","4,186","4,043","6,118","5,768","7,066","8,920","11,477","12,290","5,938","3,952","2,553","1,440","1,130",542,189
,女,"229,434",—,"39,060","18,280","16,587","33,163","42,881","31,370","21,180","12,932","7,304","4,528","1,537",403,133,50,18,5,3,,女,"973,194","188,398","358,561","95,440","63,021","64,852","54,955","43,110","39,157","29,406","19,271","11,248","3,841","1,190",409,197,112,21,5,,女,"514,372","365,374","33,417","18,594","16,114","16,673","11,896","11,621","12,236","11,709","8,454","4,375","2,039","1,050",443,260,88,23,6,,女,"96,581","42,998","2,483",999,"2,097","1,505","2,630","3,085","3,403","4,438","6,247","9,326","5,682","4,415","3,555","2,077","1,178",386,77
,計,"1,361,400",—,"2,198","12,323","40,766","141,596","248,231","239,750","209,356","171,958","129,843","94,372","37,125","16,635","8,263","5,692","2,825",434,33,,計,"3,088,831",689,"24,982","78,975","144,523","297,078","377,394","416,922","486,498","461,460","376,176","229,351","98,330","53,404","23,300","12,269","6,246","1,119",115,,計,"1,595,739","1,800","12,934","24,993","48,395","90,999","104,426","135,890","232,336","353,856","303,328","135,064","72,274","43,783","19,168","10,694","4,902",782,115,,計,"1,438,449",46,261,"1,071","6,613","16,804","18,887","17,823","30,915","84,503","210,358","380,204","250,850","212,415","137,648","54,209","13,477","2,048",317
